county,date,vaccines_started,vaccines_completed
Belmont,1/22/21,246,19
Belmont,1/23/21,26,0
Belmont,1/24/21,20,2
Belmont,1/25/21,64,68
Belmont,1/26/21,67,139
Belmont,1/27/21,89,79
Belmont,1/28/21,532,95
Belmont,1/29/21,306,19
Belmont,1/30/21,33,1
Belmont,1/31/21,30,1
Belmont,2/1/21,88,20
Belmont,2/2/21,68,16
Belmont,2/3/21,534,16
Belmont,2/4/21,113,64
Belmont,2/5/21,161,156
Belmont,2/6/21,19,23
Belmont,2/7/21,45,43
Belmont,2/8/21,42,69
Belmont,2/9/21,73,58
Belmont,2/10/21,82,223
Belmont,2/11/21,272,416
Belmont,2/12/21,185,299
Belmont,2/13/21,34,3
Belmont,2/14/21,33,0
Belmont,2/15/21,55,23
Belmont,2/16/21,68,102
Belmont,2/17/21,365,460
Belmont,2/18/21,49,119
Belmont,2/19/21,71,123
Belmont,2/20/21,15,206
Belmont,2/21/21,2,27
Belmont,2/22/21,40,86
Belmont,2/23/21,141,68
Belmont,2/24/21,840,88
Belmont,2/25/21,644,129
Belmont,2/26/21,354,245
Belmont,2/27/21,35,52
Belmont,2/28/21,54,19
Belmont,3/1/21,87,56
Belmont,3/2/21,139,147
Belmont,3/3/21,480,562
Belmont,3/4/21,718,172
Belmont,3/5/21,413,316
Belmont,3/6/21,25,32
Belmont,3/7/21,80,24
Belmont,3/8/21,242,207
Belmont,3/9/21,253,147
Belmont,3/10/21,908,234
Belmont,3/11/21,716,113
Belmont,3/12/21,722,408
Belmont,3/13/21,80,39
Belmont,3/14/21,79,66
Belmont,3/15/21,142,167
Belmont,3/16/21,118,856
Belmont,3/17/21,942,98
Belmont,3/18/21,183,224
Belmont,3/19/21,538,694
Belmont,3/20/21,73,39
Belmont,3/21/21,41,7
Belmont,3/22/21,244,163
Belmont,3/23/21,137,114
Belmont,3/24/21,527,446
Belmont,3/25/21,432,543
Belmont,3/26/21,332,160
Belmont,3/27/21,51,27
Belmont,3/28/21,13,6
Belmont,3/29/21,130,99
Belmont,3/30/21,429,119
Belmont,3/31/21,341,770
Belmont,4/1/21,541,186
Belmont,4/2/21,103,373
Belmont,4/3/21,52,36
Belmont,4/4/21,22,3
Belmont,4/5/21,99,122
Belmont,4/6/21,142,166
Belmont,4/7/21,303,436
Belmont,4/8/21,221,1137
Belmont,4/9/21,172,484
Belmont,4/10/21,76,59
Belmont,4/11/21,22,6
Belmont,4/12/21,143,102
Belmont,4/13/21,108,63
Belmont,4/14/21,111,421
