Date Administered,* Jurisdiction,COVID-19 Doses Administered
1/24/2021,Unknown State,40
1/23/2021,Unknown State,184
1/22/2021,Unknown State,1213
1/21/2021,Unknown State,946
1/20/2021,Unknown State,1280
1/19/2021,Unknown State,1237
1/18/2021,Unknown State,579
1/17/2021,Unknown State,24
1/16/2021,Unknown State,238
1/15/2021,Unknown State,496
1/14/2021,Unknown State,452
1/13/2021,Unknown State,716
1/12/2021,Unknown State,730
1/11/2021,Unknown State,498
1/10/2021,Unknown State,46
1/9/2021,Unknown State,151
1/8/2021,Unknown State,429
1/7/2021,Unknown State,347
1/6/2021,Unknown State,651
1/5/2021,Unknown State,533
1/4/2021,Unknown State,292
1/3/2021,Unknown State,16
1/2/2021,Unknown State,24
1/1/2021,Unknown State,14
12/31/2020,Unknown State,487
12/30/2020,Unknown State,719
12/29/2020,Unknown State,689
12/28/2020,Unknown State,277
12/27/2020,Unknown State,49
12/26/2020,Unknown State,62
12/24/2020,Unknown State,57
12/23/2020,Unknown State,496
12/22/2020,Unknown State,493
12/21/2020,Unknown State,272
12/20/2020,Unknown State,13
12/19/2020,Unknown State,68
12/18/2020,Unknown State,302
12/17/2020,Unknown State,143
12/16/2020,Unknown State,33
12/15/2020,Unknown State,13
5/27/2021,Unknown Jurisdiction,101
5/26/2021,Unknown Jurisdiction,284
5/25/2021,Unknown Jurisdiction,442
5/24/2021,Unknown Jurisdiction,348
5/23/2021,Unknown Jurisdiction,68
5/22/2021,Unknown Jurisdiction,202
5/21/2021,Unknown Jurisdiction,192
5/20/2021,Unknown Jurisdiction,494
5/19/2021,Unknown Jurisdiction,652
5/18/2021,Unknown Jurisdiction,328
5/17/2021,Unknown Jurisdiction,634
5/16/2021,Unknown Jurisdiction,185
5/15/2021,Unknown Jurisdiction,522
5/14/2021,Unknown Jurisdiction,774
5/13/2021,Unknown Jurisdiction,556
5/12/2021,Unknown Jurisdiction,558
5/11/2021,Unknown Jurisdiction,655
5/10/2021,Unknown Jurisdiction,321
5/9/2021,Unknown Jurisdiction,55
5/8/2021,Unknown Jurisdiction,304
5/7/2021,Unknown Jurisdiction,567
5/6/2021,Unknown Jurisdiction,488
5/5/2021,Unknown Jurisdiction,429
5/4/2021,Unknown Jurisdiction,553
5/3/2021,Unknown Jurisdiction,368
5/2/2021,Unknown Jurisdiction,113
5/1/2021,Unknown Jurisdiction,261
4/30/2021,Unknown Jurisdiction,525
4/29/2021,Unknown Jurisdiction,712
4/28/2021,Unknown Jurisdiction,567
4/27/2021,Unknown Jurisdiction,802
4/26/2021,Unknown Jurisdiction,506
4/25/2021,Unknown Jurisdiction,103
4/24/2021,Unknown Jurisdiction,1404
4/23/2021,Unknown Jurisdiction,2212
4/22/2021,Unknown Jurisdiction,1062
4/21/2021,Unknown Jurisdiction,914
4/20/2021,Unknown Jurisdiction,781
4/19/2021,Unknown Jurisdiction,743
4/18/2021,Unknown Jurisdiction,118
4/17/2021,Unknown Jurisdiction,635
4/16/2021,Unknown Jurisdiction,1022
4/15/2021,Unknown Jurisdiction,1299
4/14/2021,Unknown Jurisdiction,1163
4/13/2021,Unknown Jurisdiction,958
4/12/2021,Unknown Jurisdiction,912
4/11/2021,Unknown Jurisdiction,502
4/10/2021,Unknown Jurisdiction,863
4/9/2021,Unknown Jurisdiction,1707
4/8/2021,Unknown Jurisdiction,2286
4/7/2021,Unknown Jurisdiction,1705
4/6/2021,Unknown Jurisdiction,1899
4/5/2021,Unknown Jurisdiction,1417
4/4/2021,Unknown Jurisdiction,37
4/3/2021,Unknown Jurisdiction,2395
4/2/2021,Unknown Jurisdiction,3421
4/1/2021,Unknown Jurisdiction,2358
3/31/2021,Unknown Jurisdiction,1440
3/30/2021,Unknown Jurisdiction,1356
3/29/2021,Unknown Jurisdiction,1865
3/28/2021,Unknown Jurisdiction,916
3/27/2021,Unknown Jurisdiction,1216
3/26/2021,Unknown Jurisdiction,2572
3/25/2021,Unknown Jurisdiction,1607
3/24/2021,Unknown Jurisdiction,2030
3/23/2021,Unknown Jurisdiction,2868
3/22/2021,Unknown Jurisdiction,1419
3/21/2021,Unknown Jurisdiction,552
3/20/2021,Unknown Jurisdiction,539
3/19/2021,Unknown Jurisdiction,2325
3/18/2021,Unknown Jurisdiction,2329
3/17/2021,Unknown Jurisdiction,3406
3/16/2021,Unknown Jurisdiction,2729
3/15/2021,Unknown Jurisdiction,1533
3/14/2021,Unknown Jurisdiction,92
3/13/2021,Unknown Jurisdiction,2046
3/12/2021,Unknown Jurisdiction,1743
3/11/2021,Unknown Jurisdiction,2029
3/10/2021,Unknown Jurisdiction,1562
3/9/2021,Unknown Jurisdiction,1442
3/8/2021,Unknown Jurisdiction,1464
3/7/2021,Unknown Jurisdiction,741
3/6/2021,Unknown Jurisdiction,1422
3/5/2021,Unknown Jurisdiction,2023
3/4/2021,Unknown Jurisdiction,1888
3/3/2021,Unknown Jurisdiction,1313
3/2/2021,Unknown Jurisdiction,1131
3/1/2021,Unknown Jurisdiction,1205
2/28/2021,Unknown Jurisdiction,371
2/27/2021,Unknown Jurisdiction,1664
2/26/2021,Unknown Jurisdiction,5430
2/25/2021,Unknown Jurisdiction,2628
2/24/2021,Unknown Jurisdiction,1844
2/23/2021,Unknown Jurisdiction,4588
2/22/2021,Unknown Jurisdiction,1602
2/21/2021,Unknown Jurisdiction,32
2/20/2021,Unknown Jurisdiction,255
2/19/2021,Unknown Jurisdiction,843
2/18/2021,Unknown Jurisdiction,862
2/17/2021,Unknown Jurisdiction,1295
2/16/2021,Unknown Jurisdiction,818
2/15/2021,Unknown Jurisdiction,414
2/14/2021,Unknown Jurisdiction,136
2/13/2021,Unknown Jurisdiction,1941
2/12/2021,Unknown Jurisdiction,1390
2/11/2021,Unknown Jurisdiction,1682
2/10/2021,Unknown Jurisdiction,745
2/9/2021,Unknown Jurisdiction,1021
2/8/2021,Unknown Jurisdiction,993
2/7/2021,Unknown Jurisdiction,154
2/6/2021,Unknown Jurisdiction,681
2/5/2021,Unknown Jurisdiction,4462
2/4/2021,Unknown Jurisdiction,2141
2/3/2021,Unknown Jurisdiction,1069
2/2/2021,Unknown Jurisdiction,1219
2/1/2021,Unknown Jurisdiction,967
1/31/2021,Unknown Jurisdiction,333
1/30/2021,Unknown Jurisdiction,121
1/29/2021,Unknown Jurisdiction,7222
1/28/2021,Unknown Jurisdiction,1001
1/27/2021,Unknown Jurisdiction,721
1/26/2021,Unknown Jurisdiction,928
1/25/2021,Unknown Jurisdiction,800
1/24/2021,Unknown Jurisdiction,159
1/23/2021,Unknown Jurisdiction,259
1/22/2021,Unknown Jurisdiction,776
1/21/2021,Unknown Jurisdiction,577
1/20/2021,Unknown Jurisdiction,605
1/19/2021,Unknown Jurisdiction,406
1/18/2021,Unknown Jurisdiction,509
1/17/2021,Unknown Jurisdiction,39
