Date Administered,* Jurisdiction,COVID-19 Doses Administered
1/23/2021,Clay,67
1/22/2021,Clay,305
1/21/2021,Clay,395
1/20/2021,Clay,289
1/19/2021,Clay,355
1/18/2021,Clay,98
1/17/2021,Clay,3
1/16/2021,Clay,53
1/15/2021,Clay,379
1/14/2021,Clay,194
1/13/2021,Clay,194
1/12/2021,Clay,396
1/11/2021,Clay,334
1/10/2021,Clay,6
1/9/2021,Clay,94
1/8/2021,Clay,165
1/7/2021,Clay,190
1/6/2021,Clay,262
1/5/2021,Clay,155
1/4/2021,Clay,35
1/3/2021,Clay,16
1/2/2021,Clay,54
1/1/2021,Clay,2
12/31/2020,Clay,275
12/30/2020,Clay,343
12/29/2020,Clay,211
12/28/2020,Clay,50
12/27/2020,Clay,7
12/26/2020,Clay,6
12/24/2020,Clay,33
12/23/2020,Clay,145
12/22/2020,Clay,244
12/21/2020,Clay,109
12/20/2020,Clay,3
12/19/2020,Clay,34
12/18/2020,Clay,19
12/17/2020,Clay,25
12/16/2020,Clay,2
12/15/2020,Clay,7
12/14/2020,Clay,2
4/25/2021,Clark,1
4/24/2021,Clark,3
4/23/2021,Clark,15
4/22/2021,Clark,2
4/21/2021,Clark,3
4/20/2021,Clark,8
4/19/2021,Clark,12
4/18/2021,Clark,1
4/17/2021,Clark,1
4/16/2021,Clark,83
4/15/2021,Clark,9
4/14/2021,Clark,11
4/13/2021,Clark,9
4/12/2021,Clark,7
4/11/2021,Clark,4
4/10/2021,Clark,3
4/9/2021,Clark,17
4/8/2021,Clark,15
4/7/2021,Clark,9
4/6/2021,Clark,8
4/5/2021,Clark,17
4/3/2021,Clark,1
4/2/2021,Clark,19
4/1/2021,Clark,22
3/31/2021,Clark,12
3/30/2021,Clark,17
3/29/2021,Clark,16
3/28/2021,Clark,1
3/27/2021,Clark,1
3/26/2021,Clark,26
3/25/2021,Clark,41
3/24/2021,Clark,31
3/23/2021,Clark,14
3/22/2021,Clark,2
3/21/2021,Clark,1
3/20/2021,Clark,1
3/19/2021,Clark,92
3/18/2021,Clark,31
3/17/2021,Clark,44
3/16/2021,Clark,16
3/15/2021,Clark,13
3/14/2021,Clark,2
3/13/2021,Clark,1
3/12/2021,Clark,19
3/11/2021,Clark,23
3/10/2021,Clark,8
3/9/2021,Clark,40
3/8/2021,Clark,9
3/6/2021,Clark,8
3/5/2021,Clark,44
3/4/2021,Clark,38
3/3/2021,Clark,46
3/2/2021,Clark,18
3/1/2021,Clark,65
2/26/2021,Clark,26
2/25/2021,Clark,37
2/24/2021,Clark,11
2/23/2021,Clark,10
2/22/2021,Clark,1
2/20/2021,Clark,1
2/19/2021,Clark,119
2/17/2021,Clark,57
2/16/2021,Clark,19
2/15/2021,Clark,3
2/14/2021,Clark,3
2/13/2021,Clark,1
2/12/2021,Clark,31
2/11/2021,Clark,28
2/10/2021,Clark,14
2/9/2021,Clark,35
2/8/2021,Clark,22
2/6/2021,Clark,8
2/5/2021,Clark,34
2/4/2021,Clark,36
2/3/2021,Clark,45
2/2/2021,Clark,24
2/1/2021,Clark,34
1/29/2021,Clark,25
1/28/2021,Clark,17
1/27/2021,Clark,3
