,kernel,C,epsilon,neg_mean_squared_error,r2,neg_mean_absolute_error,model,degree
28,poly,20.0,5,-641172419.2777692,-42495.01573323064,-385.07616746025616,SVR,3.0
29,poly,20.0,10,-207779587.0256811,-12464.580838011156,-261.70158936517527,SVR,3.0
0,,0.1,0,-2735.5671454288563,0.9106654145445108,-8.502935529744018,LinearSVR,
1,,0.1,5,-2773.122050716117,0.9100229285429328,-8.851271464041032,LinearSVR,
2,,0.1,10,-2915.588096371202,0.9048907613437835,-9.716589440020932,LinearSVR,
3,,0.5,0,-4075.724730256769,0.8911959198831605,-7.9016868052630524,LinearSVR,
4,,0.5,5,-4052.564126197158,0.8912165787791437,-8.310909228362519,LinearSVR,
5,,0.5,10,-4104.978040389498,0.889097741101312,-9.01352369655392,LinearSVR,
6,,1.0,0,-3890.164022997296,0.8912180342638064,-7.737493813177543,LinearSVR,
7,,1.0,5,-3922.4843991953,0.8926546813351834,-8.148441871556697,LinearSVR,
8,,1.0,10,-3937.937376840961,0.8897123198209763,-8.9213132143736,LinearSVR,
9,,5.0,0,-4037.630917271927,0.8845214399927206,-7.645201564945171,LinearSVR,
10,,5.0,5,-4088.003508400357,0.8823013481291113,-8.070859502975383,LinearSVR,
11,,5.0,10,-4130.32508545599,0.8827780230596457,-8.80922051205992,LinearSVR,
12,,10.0,0,-4136.596882435742,0.8811996469319899,-7.637495515307749,LinearSVR,
13,,10.0,5,-4581.567313897321,0.8753908707637095,-8.029456166371743,LinearSVR,
14,,10.0,10,-4377.724809332546,0.8743641674669047,-8.827995707197504,LinearSVR,
15,,20.0,0,-4180.750183095692,0.8801273388083697,-7.70202408985077,LinearSVR,
16,,20.0,5,-3983.623426838042,0.8806902070069532,-7.966033179723654,LinearSVR,
17,,20.0,10,-4254.240959777183,0.876738587301198,-8.798472719557427,LinearSVR,
